token_id,token_address,decimals
aave-v3-stg,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,18
aave-v3-uni,0xf6d2224916ddfbbab6e6bd0d1b7034f4ae0cab18,18
aave-zrx-v1,0x6fb0855c404e09c47c3fbca25f08d4e41f9f062f,18
aave-v3-rpl,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,18
aave-v3-usdt,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,6
aave-v3-wbtc,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,8
aave-v3-weth,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,18
aave-v3-wsteth,0x0b925ed163218f6662a35e0f0371ac234f9e9371,18
aave-wbtc,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656,8
aave-weth,0x030ba81f1c18d280636f32af80b9aad02cf0854e,18
aave-xsushi,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,18
aave-yfi,0x5165d24277cd063f5ac44efd447b27025e888f37,18
aave-yvault,0xd9788f3931ede4d5018184e198699dc6d66c1915,18
aave-zrx,0xdf7ff54aacacbff42dfe29dd6144a69b629f8c9e,18
aavegotchi,0x3f382dbd960e3a9bbceae22651e88158d2791550,18
aax-token,0x686c650dbcfeaa75d09b883621ad810f5952bd5d,18
abachi-2,0xbf0b8b7475edb32d103001efd19fdd2753d7b76d,18
abachi,0xa31dfe74cda04de990cafc6a0ab2bb6d6c9077cd,9
abcc-token,0xbf8fb919a8bbf28e590852aef2d284494ebc0657,18
aboard,0xb0ed164f6e3c6a4153eeb43bf9674955a259ec45,18
abond,0xe6828d65bf5023ae1851d90d8783cc821ba7eee1,18
ac-exchange-token,0x7be00ed6796b21656732e8f739fc1b8f1c53da0d,18
accel-defi,0x7475c42f8bf2c19f4eaf12feaababa859fdc8914,18
acent,0xec5483804e637d45cde22fa0869656b64b5ab1ab,18
acmfinance,0x1bd9abf284e893705104e64b564b414620b722f1,18
acoconut,0x9a0aba393aac4dfbff4333b06c407458002c6183,18
acquire-fi,0x4bdcb66b968060d9390c1d12bd29734496205581,18
acreage-coin,0x76306f029f8f99effe509534037ba7030999e3cf,18
acria,0x44f5909e97e1cbf5fbbdf0fc92fd83cde5d5c58a,18
across-protocol,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,18
active-world-rewards-token,0x27ad8e47c48063b209fa5ca14c8c46ece49b82d2,9
acute-angle-cloud,0xe75ad3aab14e4b0df8c5da4286608dabb21bd864,5
acy-finance,0xaf9db9e362e306688af48c4acb9618c06db38ac3,18
ad-flex-token,0x7220e92d418e2eb59d0c25d195fa004bfd3afc42,18
adalend,0xae1107fc7cef1294f09185ac475c9886527dcd8a,18
adana-demirspor,0xfec82a1b2638826bfe53ae2f87cfd94329cde60d,2
adapad,0xdb0170e2d0c1cc1b2e7a90313d9b9afa4f250289,18
adappter-token,0xc314b0e758d5ff74f63e307a86ebfe183c95767b,18
adapt3r-digital-treasury-bill-fund,0xa1f3aca66403d29b909605040c30ae1f1245d14c,6
adaswap,0x56694577564fdd577a0abb20fe95c1e2756c2a11,18
adbank,0x2baac9330cf9ac479d819195794d79ad0c7616e3,18
add-xyz-new,0x635d081fd8f6670135d8a3640e2cf78220787d56,18
addiction,0x5c9c7554ab2b302a0a3e943377acb30e9a70f9f7,18
addy,0x828eb9a1934c143808e325754c54ae2c1741ec49,18
adex,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,18
aditus,0x8810c63470d38639954c6b41aac545848c46484a,18
adora-token,0x9ac5c63ddcb93612e316ab31dfc8192bc8961988,18
adreward,0xe973e453977195422b48e1852a207b7ee9c913c7,18
adshares,0xcfcecfe2bd2fed07a9145222e8a7ad9cf1ccd22a,11
adtoken,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd,9
adult-playground,0x565d3902d6a5a2d5ce28ff427423e88933334dd2,18
advanced-united-continent,0x87a92428bbc876d463c21c8e51b903f127d9a9f4,18
advantis,0x69e37422cb87d963367f73a119c8ce9a4d529b72,9
adventure-gold,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,18
adventure-token,0xa2ef2757d2ed560c9e3758d1946d7bcccbd5a7fe,18
adventurer-gold,0x486f4641ef2b50cc130dadbd27b6f271723873b8,18
advertise-coin,0xb6c3dc857845a713d3531cea5ac546f6767992f4,6
aegis,0xdb2f2bcce3efa95eda95a233af45f3e0d4f00e2a,8
aegis-ai,0x55a8f6c6b3aa58ad6d1f26f6afeded78f32e19f4,9
aelf,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,18
aelysir,0xd337382da15d12bb6e56498e91df64f86c8f1ea8,18
aen-smart-token,0xd38de88687172bde440755b5237987e4a87c23a7,8
aepos-network,0x31e6506751437428ae8f2e15ec4a3d2e33d4f8a4,18
aergo,0x91af0fbb28aba7e31403cb457106ce79397fd4e6,18
aerie,0x703293d32aea894cca91d6c282db9efffe47c308,18
aeron,0x0c37bcf456bc661c14d596683325623076d7e283,18
aerotoken,0x8c9e4cf756b9d01d791b95bc2d0913ef2bf03784,18
aeternity,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,18
aether-games,0xf0187b76be05c1fcaa24f39c0a3aab4434099c4f,18
aethir,0xbe0ed4138121ecfc5c0e56b40517da27e6c5226b,18
aevo-exchange,0xb528edbef013aff855ac3c50b381f253af13b997,18
aficionadao,0x4ce9975a510d9b02ecca7541bc94c5530c1b1929,18
afin-coin,0xee9e5eff401ee921b138490d00ca8d1f13f67a72,8
aga-rewards,0x9d5963ba32e877871dff3e2e697283dc64066271,18
aga-rewards-2,0xb453f1f2ee776daf2586501361c457db70e1ca0f,8
aga-token,0x2d80f5f5328fdcb6eceb7cacf5dd8aedaec94e20,4
agatech,0x5824d908411fb531ffb47e05950eb194f41e7da1,18
agavecoin,0x8b79656fc38a04044e495e22fad747126ca305c4,18
ageur,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,18
agg,0xfb0489e9753b045ddb35e39c6b0cc02ec6b99ac5,18
aggregated-finance,0x4d0f56d728c5232ab07faa0bdcba23670a35451f,9
aggrx,0xb37ea37de1075b7d2f6b64e768917b174639a59c,18
agii,0x75d86078625d1e2f612de2627d34c7bc411c18b8,18
agility,0x5f18ea482ad5cc6bc65803817c99f477043dce85,18
